Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Ticker,Dec 2011,Mar 2019,Jun 2019,Sep 2019,Mar 2022,Jun 2018,Sep 2018,Dec 2018,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Dec 2005,Dec 2006,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015
Other Income +,13,12,9,19,19,13,5,18,21,18,16,19,30,AMBER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,21,24,29,37,45,37,37,48,52,49,54,55,63,AMBER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,32,32,36,39,43,45,47,51,55,57,59,58,62,AMBER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,59,-7,22,146,63,-9,0,138,104,24,53,189,154,AMBER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,27%,-69%,32%,26%,26%,-40%,270%,28%,28%,11%,30%,37%,31%,AMBER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,43,-2,15,108,47,-6,-1,99,75,21,37,118,106,AMBER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,12.48,-0.88,4.20,30.86,13.55,-2.06,-0.14,28.10,21.48,5.70,10.61,34.32,30.66,AMBER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,AMBER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,8033,7143,7907,7966,8713,7424,8129,8894,8392,7516,9329,9981,10289,AMBUJACEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,6922,6809,6885,6727,7046,6122,6397,7195,7112,6405,7617,8113,8328,AMBUJACEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,1111,334,1021,1239,1667,1302,1732,1699,1280,1111,1712,1868,1961,AMBUJACEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,14%,5%,13%,16%,19%,18%,21%,19%,15%,15%,18%,19%,19%,AMBUJACEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,143,75,-18,142,268,480,204,448,358,220,1355,713,300,AMBUJACEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,40,41,43,39,52,61,70,93,68,67,67,14,67,AMBUJACEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,319,331,337,352,372,381,416,459,476,552,664,786,862,AMBUJACEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,895,39,623,989,1512,1340,1450,1595,1094,713,2336,1780,1333,AMBUJACEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,3%,-33%,22%,23%,25%,26%,25%,5%,28%,34%,-12%,28%,27%,AMBUJACEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,865,51,488,763,1135,987,1091,1521,783,473,2620,1282,970,AMBUJACEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,3.79,0.47,2.19,3.25,4.56,3.99,4.15,4.78,2.60,1.85,8.59,3.88,3.20,AMBUJACEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,AMBUJACEM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,3439,3969,4327,4431,4545,4630,4178,4766,4974,4774,5433,5509,5170,APLAPOLLO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,3245,3737,4054,4108,4238,4305,3898,4485,4673,4636,5087,5095,4798,APLAPOLLO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,194,232,273,323,307,325,280,280,302,138,346,414,372,APLAPOLLO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,6%,6%,6%,7%,7%,7%,7%,6%,6%,3%,6%,8%,7%,APLAPOLLO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,8,12,9,18,22,20,15,19,25,15,22,35,26,APLAPOLLO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,10,14,19,25,27,27,28,31,28,36,37,32,33,APLAPOLLO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,29,28,35,47,41,41,47,47,46,47,50,58,54,APLAPOLLO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,163,202,229,269,261,277,219,221,252,70,280,359,310,APLAPOLLO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,26%,26%,25%,26%,27%,24%,23%,23%,23%,23%,18%,23%,APLAPOLLO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,121,150,169,202,194,203,166,170,193,54,217,293,237,APLAPOLLO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,4.82,6.00,6.10,7.28,6.98,7.32,5.96,6.14,6.96,1.94,7.82,10.56,8.55,APLAPOLLO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,APLAPOLLO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,3796,4251,4264,4302,4418,4847,4851,4944,5086,5589,5527,5592,5842,APOLLOHOSP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,3317,3699,3780,3814,3909,4219,4237,4303,4410,4774,4765,4822,4990,APOLLOHOSP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,479,552,484,488,509,628,614,640,675,816,762,770,852,APOLLOHOSP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,13%,13%,11%,11%,12%,13%,13%,13%,13%,15%,14%,14%,15%,APOLLOHOSP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,16,23,35,20,34,26,29,37,49,44,69,72,54,APOLLOHOSP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,93,93,100,95,106,111,113,119,116,118,110,115,108,APOLLOHOSP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,148,155,153,159,167,163,167,190,177,184,185,211,215,APOLLOHOSP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,254,327,266,254,270,379,363,368,430,557,536,516,583,APOLLOHOSP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,-27%,35%,39%,43%,36%,34%,30%,30%,27%,29%,29%,20%,24%,APOLLOHOSP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,324,213,162,146,173,249,254,258,316,396,379,414,441,APOLLOHOSP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,22.06,14.19,10.68,10.05,11.59,16.20,17.06,17.65,21.23,26.34,25.89,27.10,30.10,APOLLOHOSP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,APOLLOHOSP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,5942,5956,6423,6247,6245,6280,6595,6258,6335,6437,6928,6424,6561,APOLLOTYRE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,5252,5244,5509,5249,5193,5120,5387,5230,5426,5559,5981,5586,5693,APOLLOTYRE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,690,712,913,998,1051,1160,1208,1028,909,878,947,837,868,APOLLOTYRE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,12%,12%,14%,16%,17%,18%,18%,16%,14%,14%,14%,13%,13%,APOLLOTYRE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,11,7,7,40,22,13,3,38,-10,17,4,-91,-351,APOLLOTYRE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,118,132,142,139,135,133,123,115,107,120,111,109,101,APOLLOTYRE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,344,349,354,372,362,360,368,388,370,376,376,377,378,APOLLOTYRE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,238,238,424,527,576,680,721,563,423,399,465,260,38,APOLLOTYRE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,20%,25%,31%,22%,31%,30%,31%,37%,29%,25%,27%,29%,66%,APOLLOTYRE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,191,179,292,410,397,474,497,354,302,297,337,185,13,APOLLOTYRE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,3.00,2.82,4.60,6.46,6.25,7.47,7.82,5.58,4.76,4.68,5.31,2.91,0.20,APOLLOTYRE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,APOLLOTYRE.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,8470,9600,10400,13203,9691,11429,11093,13542,10724,11148,11995,14696,11709,ASHOKLEY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,7701,8580,9055,11245,8183,9559,9131,10975,8856,9108,9659,11705,9535,ASHOKLEY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,770,1020,1344,1958,1509,1870,1961,2567,1868,2040,2336,2991,2173,ASHOKLEY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,9%,11%,13%,15%,16%,16%,18%,19%,17%,18%,19%,20%,19%,ASHOKLEY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,5,32,36,97,53,-1,46,10,36,245,75,22,103,ASHOKLEY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,467,499,545,582,655,715,783,829,904,962,1011,1053,1112,ASHOKLEY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,212,209,220,259,227,227,241,233,235,244,268,340,273,ASHOKLEY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,96,344,615,1214,679,927,984,1516,765,1078,1132,1621,891,ASHOKLEY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,77%,46%,43%,34%,14%,39%,38%,38%,28%,29%,28%,23%,26%,ASHOKLEY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,22,186,351,803,584,569,609,934,551,767,820,1246,658,ASHOKLEY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,0.01,0.28,0.54,1.28,0.93,0.90,0.95,1.45,0.87,1.20,1.30,1.92,1.04,ASHOKLEY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ASHOKLEY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,8607,8458,8637,8787,9182,8479,9103,8731,8970,8028,8549,8359,8939,ASIANPAINT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,7051,7230,7025,6923,7061,6762,7047,7039,7276,6788,6913,6923,7314,ASIANPAINT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,1556,1228,1611,1865,2121,1716,2056,1691,1694,1240,1637,1436,1625,ASIANPAINT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,18%,15%,19%,21%,23%,20%,23%,19%,19%,15%,19%,17%,18%,ASIANPAINT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,88,118,122,104,228,194,186,212,193,25,193,-60,229,ASIANPAINT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,29,35,41,39,46,51,54,54,55,63,56,53,44,ASIANPAINT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,208,216,214,220,198,209,220,226,228,242,256,301,301,ASIANPAINT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,1407,1094,1478,1710,2105,1651,1968,1624,1604,959,1518,1022,1509,ASIANPAINT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,27%,26%,26%,25%,25%,25%,21%,26%,28%,26%,31%,26%,ASIANPAINT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,1036,804,1097,1258,1575,1232,1475,1275,1187,694,1128,701,1117,ASIANPAINT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,10.60,8.16,11.18,12.87,16.16,12.57,15.09,13.10,12.20,7.24,11.58,7.22,11.47,ASIANPAINT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ASIANPAINT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,2662,2816,3192,807,841,929,955,974,1002,1086,1050,1000,1078,ASTERDM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,2370,2498,2743,687,722,787,805,817,841,869,864,818,876,ASTERDM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,292,319,449,120,119,142,149,156,161,217,186,182,202,ASTERDM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,11%,11%,14%,15%,14%,15%,16%,16%,16%,20%,18%,18%,19%,ASTERDM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,37,18,10,149,-17,-64,153,-40,5120,35,9,5,29,ASTERDM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,69,77,87,25,25,30,25,30,29,31,31,32,31,ASTERDM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,175,189,198,54,51,54,57,58,60,62,62,64,63,ASTERDM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,85,71,173,190,26,-7,220,28,5191,159,102,91,136,ASTERDM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,6%,23%,8%,4%,24%,120%,5%,108%,1%,33%,37%,6%,31%,ASTERDM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,80,54,159,183,20,-15,209,-2,5152,106,64,86,94,ASTERDM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,1.37,0.93,2.79,3.42,0.10,-0.62,3.59,-0.48,103.00,1.94,1.14,1.58,1.65,ASTERDM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ASTERDM.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1213,1172,1268,1506,1283,1363,1370,1625,1384,1370,1397,1681,1361,ASTRAL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1042,1028,1081,1199,1082,1143,1165,1334,1169,1160,1178,1380,1176,ASTRAL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,171,144,186,307,202,220,205,291,214,210,219,302,185,ASTRAL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,14%,12%,15%,20%,16%,16%,15%,18%,16%,15%,16%,18%,14%,ASTRAL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,14,14,-2,12,12,13,6,10,12,9,12,9,9,ASTRAL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,13,14,9,3,6,8,8,8,8,10,14,10,12,ASTRAL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,43,45,46,44,46,49,50,52,56,60,63,65,72,ASTRAL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,128,99,130,272,162,177,154,241,163,149,154,236,110,ASTRAL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,25%,24%,27%,24%,26%,26%,26%,25%,27%,27%,27%,25%,28%,ASTRAL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,96,75,95,206,119,132,113,181,120,109,113,178,79,ASTRAL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,3.32,2.57,3.46,7.66,4.46,4.88,4.23,6.76,4.48,4.09,4.25,6.67,3.02,ASTRAL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ASTRAL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1042,1116,1106,1115,1056,1096,1156,1167,1145,1219,1294,1341,1379,ATGL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,824,889,876,926,808,816,868,879,851,913,1030,1075,1085,ATGL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,219,226,230,189,248,280,288,288,295,306,265,266,293,ATGL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,21%,20%,21%,17%,23%,26%,25%,25%,26%,25%,20%,20%,21%,ATGL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,10,31,10,9,10,15,18,19,9,16,8,14,12,ATGL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,19,21,6,32,24,27,31,29,26,23,27,24,28,ATGL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,24,27,31,31,33,38,39,49,46,51,53,53,56,ATGL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,186,208,203,136,201,230,236,229,232,247,192,204,222,ATGL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,23%,26%,28%,25%,25%,25%,27%,26%,25%,26%,24%,26%,ATGL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,138,160,150,98,150,173,177,168,172,186,142,155,165,ATGL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,1.26,1.45,1.37,0.89,1.37,1.57,1.61,1.53,1.56,1.69,1.29,1.41,1.50,ATGL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ATGL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1477,1487,1268,1195,1182,1194,1138,1212,1322,1393,1417,1452,1478,ATUL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1244,1267,1096,1046,1000,1039,986,1065,1099,1150,1193,1229,1242,ATUL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,233,220,172,149,182,155,152,148,223,243,224,223,236,ATUL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,16%,15%,14%,12%,15%,13%,13%,12%,17%,17%,16%,15%,16%,ATUL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,37,33,23,26,10,24,17,16,16,35,19,50,28,ATUL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,2,2,2,2,2,2,2,5,5,9,4,5,5,ATUL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,47,49,50,51,52,54,61,76,77,78,81,82,82,ATUL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,221,202,142,122,138,124,105,83,158,191,158,186,177,ATUL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,27%,28%,24%,26%,26%,32%,29%,29%,27%,26%,30%,25%,ATUL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,163,148,103,92,102,91,72,59,112,140,117,130,132,ATUL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,55.74,51.13,35.61,31.70,35.02,30.60,24.04,19.84,38.00,46.47,36.93,42.97,43.40,ATUL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,ATUL.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,,,,,,,,,,,,,,AUBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,,,,,,,,,,,,,,AUBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Profit,,,,,,,,,,,,,,AUBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Margin %,,,,,,,,,,,,,,AUBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,,,,,,,,,,,,,,AUBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,,,,,,,,,,,,,,AUBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,,,,,,,,,,,,,,AUBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,,,,,,,,,,,,,,AUBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,,,,,,,,,,,,,,AUBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,,,,,,,,,,,,,,AUBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross NPA %,,,,,,,,,,,,,,AUBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,,AUBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,AUBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,6236,5739,6407,6473,6851,7219,7352,7580,7567,7796,7979,8382,7868,AUROPHARMA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,5303,4950,5453,5477,5702,5846,5753,5920,5949,6230,6401,6622,6265,AUROPHARMA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,933,790,954,996,1149,1373,1599,1660,1618,1566,1578,1760,1603,AUROPHARMA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,15%,14%,15%,15%,17%,19%,22%,22%,21%,20%,20%,21%,20%,AUROPHARMA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,41,57,93,135,47,188,163,14,221,136,159,135,107,AUROPHARMA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,15,25,45,56,57,68,76,89,111,113,118,115,98,AUROPHARMA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,280,298,321,346,327,418,423,354,404,382,419,444,406,AUROPHARMA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,679,523,680,730,812,1076,1262,1230,1324,1207,1200,1335,1207,AUROPHARMA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,23%,22%,28%,31%,30%,30%,26%,26%,31%,32%,30%,32%,32%,AUROPHARMA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,520,410,491,506,570,752,940,907,918,817,846,903,824,AUROPHARMA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,8.88,6.99,8.38,8.64,9.74,12.92,15.98,15.51,15.69,13.95,14.44,15.42,14.08,AUROPHARMA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,AUROPHARMA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue +,19193,20783,22843,24630,26246,27418,28865,30231,31159,31601,32162,32452,32348,AXISBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,9565,10150,11094,12580,13972,14749,15943,16727,17261,17615,18040,18121,18239,AXISBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,7168,7450,8577,8101,9731,10059,10506,11124,11892,12412,11913,11943,13983,AXISBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Profit,2460,3182,3171,3948,2543,2609,2416,2379,2006,1575,2210,2389,127,AXISBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Margin %,13%,15%,14%,16%,10%,10%,8%,8%,6%,5%,7%,7%,0%,AXISBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,3423,4390,5148,-7101,5648,5705,6272,7606,6637,7603,6797,7506,8053,AXISBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,AXISBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,5883,7573,8319,-3153,8192,8314,8688,9985,8643,9177,9007,9895,8180,AXISBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,25%,26%,25%,70%,26%,25%,25%,24%,25%,19%,25%,24%,23%,AXISBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,4402,5636,6215,-5334,6113,6230,6520,7630,6467,7436,6779,7509,6279,AXISBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,14.26,18.27,20.12,-17.43,19.78,20.13,21.05,24.62,20.83,23.93,21.78,24.13,20.13,AXISBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross NPA %,,,,,,,,,,,,,,AXISBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,,AXISBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,AXISBANK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,8005,10203,9319,8929,10312,10838,12165,11555,11932,13247,13169,12646,13133,BAJAJ-AUTO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,6719,8453,7561,7272,8380,8708,9750,9271,9562,11174,10418,10289,10340,BAJAJ-AUTO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,1286,1750,1757,1657,1932,2130,2415,2284,2370,2073,2751,2358,2793,BAJAJ-AUTO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,16%,17%,19%,19%,19%,20%,20%,20%,20%,16%,21%,19%,21%,BAJAJ-AUTO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
